exchange,exchangename,scripcode,scripshortname
2,NSEFO,168210,RELIANCE
2,NSEFO,168211,RELIANCE
2,NSEFO,168212,RELIANCE
2,NSEFO,168213,RELIANCE
2,NSEFO,168214,RELIANCE
2,NSEFO,168215,RELIANCE
2,NSEFO,168216,RELIANCE
2,NSEFO,168217,RELIANCE
2,NSEFO,168218,RELIANCE
2,NSEFO,168219,RELIANCE
2,NSEFO,168220,RELIANCE
2,NSEFO,168221,RELIANCE
2,NSEFO,168222,RELIANCE
2,NSEFO,168223,RELIANCE
2,NSEFO,168224,RELIANCE
2,NSEFO,168225,RELIANCE
2,NSEFO,169507,SHREECEM
2,NSEFO,169508,SHREECEM
2,NSEFO,169509,SHREECEM
2,NSEFO,169510,SHREECEM
2,NSEFO,169511,SHREECEM
2,NSEFO,169512,SHREECEM
2,NSEFO,169513,SHREECEM
2,NSEFO,169514,SHREECEM
2,NSEFO,169515,SHREECEM
2,NSEFO,169516,SHREECEM
2,NSEFO,169517,SHREECEM
2,NSEFO,169518,SHREECEM
2,NSEFO,169519,SHREECEM
2,NSEFO,169520,SHREECEM
2,NSEFO,169521,SHREECEM
2,NSEFO,169522,SHREECEM
2,NSEFO,169523,SHREECEM
2,NSEFO,169524,SHREECEM
2,NSEFO,169525,SHREECEM
2,NSEFO,169526,SHREECEM
2,NSEFO,169527,SHREECEM
2,NSEFO,169528,SHREECEM
2,NSEFO,169529,SHREECEM
2,NSEFO,169530,SHREECEM
2,NSEFO,169531,SHREECEM
2,NSEFO,169532,SHREECEM
2,NSEFO,169533,SHREECEM
2,NSEFO,169534,SHREECEM
2,NSEFO,169535,SHREECEM
2,NSEFO,169536,SHREECEM
2,NSEFO,151077,NTPC
2,NSEFO,151078,NTPC
2,NSEFO,151079,NTPC
2,NSEFO,151080,NTPC
2,NSEFO,151081,NTPC
2,NSEFO,151082,NTPC
2,NSEFO,151083,NTPC
2,NSEFO,151084,NTPC
2,NSEFO,151085,NTPC
2,NSEFO,151123,PVRINOX
2,NSEFO,151124,PVRINOX
2,NSEFO,151125,PVRINOX
2,NSEFO,151126,PVRINOX
2,NSEFO,151127,PVRINOX
2,NSEFO,151128,PVRINOX
2,NSEFO,151255,OBEROIRLTY
2,NSEFO,151256,OBEROIRLTY
2,NSEFO,151257,OBEROIRLTY
2,NSEFO,151258,OBEROIRLTY
2,NSEFO,151259,OBEROIRLTY
2,NSEFO,151260,OBEROIRLTY
2,NSEFO,151261,OBEROIRLTY
2,NSEFO,151262,OBEROIRLTY
2,NSEFO,151263,OBEROIRLTY
2,NSEFO,151264,OBEROIRLTY
2,NSEFO,151265,OBEROIRLTY
2,NSEFO,151266,OBEROIRLTY
2,NSEFO,151267,OBEROIRLTY
2,NSEFO,151268,OBEROIRLTY
2,NSEFO,151269,OBEROIRLTY
2,NSEFO,151270,OBEROIRLTY
2,NSEFO,149086,NESTLEIND
2,NSEFO,149087,NESTLEIND
2,NSEFO,149088,NESTLEIND
2,NSEFO,149089,NESTLEIND
2,NSEFO,149090,NESTLEIND
2,NSEFO,149091,NESTLEIND
2,NSEFO,149092,NESTLEIND
2,NSEFO,149093,NESTLEIND
2,NSEFO,149094,NESTLEIND
2,NSEFO,149095,NESTLEIND
2,NSEFO,149679,NMDC
2,NSEFO,149680,NMDC
2,NSEFO,149681,NMDC
2,NSEFO,149682,NMDC
2,NSEFO,149683,POWERGRID
2,NSEFO,149684,POWERGRID
2,NSEFO,149685,NMDC
2,NSEFO,149686,NMDC
2,NSEFO,149687,NMDC
2,NSEFO,149688,NMDC
2,NSEFO,149689,POWERGRID
2,NSEFO,149690,POWERGRID
2,NSEFO,149691,POWERGRID
2,NSEFO,149692,POWERGRID
2,NSEFO,149693,POWERGRID
2,NSEFO,149694,POWERGRID
2,NSEFO,149695,POWERGRID
2,NSEFO,149696,POWERGRID
2,NSEFO,149823,NMDC
2,NSEFO,149824,NMDC
2,NSEFO,149825,NMDC
2,NSEFO,152017,ONGC
2,NSEFO,152018,ONGC
2,NSEFO,152019,ONGC
2,NSEFO,152020,ONGC
2,NSEFO,152021,ONGC
2,NSEFO,152022,ONGC
2,NSEFO,152023,ONGC
2,NSEFO,152024,ONGC
2,NSEFO,152025,ONGC
2,NSEFO,152026,ONGC
2,NSEFO,152027,ONGC
2,NSEFO,152028,ONGC
2,NSEFO,152029,ONGC
2,NSEFO,152030,ONGC
2,NSEFO,152031,ONGC
2,NSEFO,152032,ONGC
2,NSEFO,152033,ONGC
2,NSEFO,152034,ONGC
2,NSEFO,152035,ONGC
2,NSEFO,152036,ONGC
2,NSEFO,152037,ONGC
2,NSEFO,152038,ONGC
2,NSEFO,152039,ONGC
2,NSEFO,152040,ONGC
2,NSEFO,152041,ONGC
2,NSEFO,152042,ONGC
2,NSEFO,152043,ONGC
2,NSEFO,152044,ONGC
2,NSEFO,152045,ONGC
2,NSEFO,152046,ONGC
2,NSEFO,152047,ONGC
2,NSEFO,152048,ONGC
2,NSEFO,154678,SBICARD
2,NSEFO,56149,BANKNIFTY
2,NSEFO,56150,GMRINFRA
2,NSEFO,56151,GMRINFRA
2,NSEFO,56152,GMRINFRA
2,NSEFO,154679,SBICARD
2,NSEFO,154680,SBICARD
2,NSEFO,154681,SBICARD
2,NSEFO,154682,SBICARD
2,NSEFO,154683,SBICARD
2,NSEFO,154684,SBICARD
2,NSEFO,154685,SBICARD
2,NSEFO,154686,SBICARD
2,NSEFO,154687,SBICARD
2,NSEFO,154688,SBICARD
2,NSEFO,154689,SBICARD
2,NSEFO,154690,SBICARD
2,NSEFO,154691,SBICARD
2,NSEFO,154692,SBICARD
2,NSEFO,154693,SBICARD
2,NSEFO,154694,SBICARD
2,NSEFO,154695,SBICARD
2,NSEFO,154696,SBICARD
2,NSEFO,51861,RBLBANK
2,NSEFO,51863,RBLBANK
2,NSEFO,51866,NATIONALUM
2,NSEFO,51868,OBEROIRLTY
2,NSEFO,51869,MIDCPNIFTY
2,NSEFO,51871,MIDCPNIFTY
2,NSEFO,51874,OBEROIRLTY
